text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,resp.rt,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
red,green,m,incongruent,,,,,1,0,1,0,0,11,11,19,,,225.79927396774292,None,m,1,225.79927396774292,None,225.3064239025116,225.86184883117676,,,,,0.5565609931945801,,,226.42137789726257,None,226.40342214107514,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,1,0,1,0,0,12,12,28,,,228.45525002479553,None,z,1,228.45525002479553,None,227.95867800712585,228.5153169631958,,,,,0.7484049797058105,,,229.2700548171997,None,229.25836112499238,229.78214597702026,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,,,,,1,0,1,0,0,13,13,25,,,231.3077049255371,None,m,1,231.3077049255371,None,230.80714893341064,231.37023496627808,,,,,0.7441339492797852,,,232.10851883888245,None,232.09045412540436,232.61946296691895,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,,,,,1,0,1,0,0,14,14,0,,,234.15510892868042,None,z,1,234.15510892868042,None,233.66291689872742,234.21731996536255,,,,,0.5368309020996094,,,234.7759130001068,None,234.75817515850068,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,1,0,1,0,0,15,15,29,,,236.8082058429718,None,z,0,236.8082058429718,None,236.31493091583252,236.86858582496643,,,,,0.5876920223236084,,,237.45895791053772,None,237.44080712795258,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,,,,,1,0,1,0,0,16,16,15,,,239.5093069076538,None,m,1,239.5093069076538,None,239.01749396324158,239.57159805297852,,,,,0.3986380100250244,,,239.99615788459778,None,239.9785630941391,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,1,0,1,0,0,17,17,23,,,242.02710700035095,None,m,1,242.02710700035095,None,241.54441690444946,242.08976984024048,,,,,0.36058497428894043,,,242.4637348651886,None,242.44984414577485,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,1,0,1,0,0,18,18,35,,,244.47125887870789,None,m,1,244.47125887870789,None,243.99621486663818,244.53373503684998,,,,,0.3646080493927002,,,244.91383290290833,None,244.8960960149765,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,,,,,1,0,1,0,0,19,19,13,,,246.93961882591248,None,m,1,246.93961882591248,None,246.44730281829834,247.0021378993988,,,,,0.34421396255493164,,,247.3378210067749,None,247.31970121860505,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,,,,,1,0,1,0,0,20,20,1,,,249.3762710094452,None,m,1,249.3762710094452,None,248.87776803970337,249.4386649131775,,,,,0.41962718963623047,,,249.86399698257446,None,249.8459182024002,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,1,0,1,0,0,21,21,18,,,251.89284992218018,None,z,1,251.89284992218018,None,251.40061402320862,251.95522904396057,,,,,0.27112698554992676,,,252.2391219139099,None,252.22747519016266,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,1,0,1,0,0,22,22,17,,,254.26743388175964,None,m,1,254.26743388175964,None,253.7751169204712,254.32983994483948,,,,,0.36055898666381836,,,254.70997405052185,None,254.69237520694733,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,,,,,1,0,1,0,0,23,23,3,,,256.7381579875946,None,m,1,256.7381579875946,None,256.2446608543396,256.8006269931793,,,,,0.3215029239654541,,,257.1190299987793,None,257.10753204822544,257.61986684799194,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,1,0,1,0,0,24,24,9,,,259.1380009651184,None,m,1,259.1380009651184,None,258.66142988204956,259.1973090171814,,,,,0.3859090805053711,,,259.608500957489,None,259.59076812267307,260.1184480190277,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,1,0,1,0,0,25,25,33,,,261.6551949977875,None,m,1,261.6551949977875,None,261.16287994384766,261.7178349494934,,,,,0.31659388542175293,,,262.0525839328766,None,262.0352430582047,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,1,0,1,0,0,26,26,31,,,264.1039388179779,None,m,1,264.1039388179779,None,263.6113028526306,264.16619300842285,,,,,0.33191680908203125,,,264.5019018650055,None,264.48386218547824,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,1,0,1,0,0,27,27,7,,,266.538290977478,None,m,1,266.538290977478,None,266.0481879711151,266.6006028652191,,,,,0.32967495918273926,,,266.93651700019836,None,266.91874601840976,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,1,0,1,0,0,28,28,21,,,268.96618390083313,None,m,1,268.96618390083313,None,268.47395300865173,269.0285220146179,,,,,0.2694408893585205,,,269.29193687438965,None,269.27830007076267,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,,,,,1,0,1,0,0,29,29,24,,,271.32903385162354,None,z,1,271.32903385162354,None,270.83616495132446,271.39129996299744,,,,,0.41895079612731934,,,271.816517829895,None,271.7985520601273,272.3196189403534,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,1,0,1,0,0,30,30,6,,,273.856920003891,None,z,1,273.856920003891,None,273.3645808696747,273.9194128513336,,,,,0.387066125869751,,,274.2981698513031,None,274.2805941343308,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,1,0,1,0,0,31,31,11,,,276.32024693489075,None,m,1,276.32024693489075,None,275.83490085601807,276.38035798072815,,,,,0.4835829734802246,,,276.8698089122772,None,276.8567750692368,277.37619495391846,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,,,,,1,0,1,0,0,32,32,14,,,278.9166748523712,None,z,1,278.9166748523712,None,278.4242420196533,278.9791588783264,,,,,0.4953639507293701,,,279.4941568374634,None,279.47609403133396,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,1,0,1,0,0,33,33,10,,,281.5225410461426,None,z,1,281.5225410461426,None,281.0307409763336,281.58509588241577,,,,,0.6733818054199219,,,282.2779109477997,None,282.2603271245957,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,1,0,1,0,0,34,34,30,,,284.32547998428345,None,z,1,284.32547998428345,None,283.83217000961304,284.38779187202454,,,,,0.3185710906982422,,,284.72384786605835,None,284.7060821294785,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,1,0,1,0,0,35,35,22,,,286.75296902656555,None,z,1,286.75296902656555,None,286.26018500328064,286.8154978752136,,,,,0.41906285285949707,,,287.240975856781,None,287.2226741552353,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.9562020301819,None,,,,,,,,
