text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
red,green,m,incongruent,0,0,0,1,,,,,52.397079944610596,None,55.11908197402954,None,z,0,1.8505489826202393,55.11908197402954,None,57.009637117385864,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,0,1,1,2,,,,,,,58.48563194274902,None,z,1,0.45214295387268066,58.48563194274902,None,58.97369599342346,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,0,2,2,0,,,,,,,60.46893095970154,None,z,1,0.5486998558044434,60.46893095970154,None,61.06230401992798,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,0,3,3,3,,,,,,,62.55230212211609,None,m,1,0.30535101890563965,62.55230212211609,None,62.8992280960083,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,1,0,4,0,,,,,,,64.38590407371521,None,z,1,0.327808141708374,64.38590407371521,None,64.75377202033997,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,1,1,5,3,,,,,,,66.24174308776855,None,m,1,0.47217607498168945,66.24174308776855,None,66.76107096672058,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,1,2,6,1,,,,,,,68.25079107284546,None,m,1,0.4469301700592041,68.25079107284546,None,68.75544500350952,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,1,3,7,2,,,,,,,70.26102995872498,None,z,1,0.6447391510009766,70.26102995872498,None,70.97478294372559,None,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,0,0,0,0,,,73.73610806465149,None,z,1,0.6257309913635254,73.73610806465149,None,,,72.01982116699219,None,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,0,1,1,2,,,74.9026951789856,None,z,1,0.45116710662841797,74.9026951789856,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,0,2,2,3,,,75.90105414390564,None,m,1,0.46094799041748047,75.90105414390564,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,0,3,3,1,,,76.90325498580933,None,m,1,0.4666731357574463,76.90325498580933,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,1,0,4,1,,,77.90178894996643,None,m,1,0.41213202476501465,77.90178894996643,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,1,1,5,2,,,78.86444306373596,None,z,1,0.3935248851776123,78.86444306373596,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,1,2,6,3,,,79.81512498855591,None,m,1,0.5630409717559814,79.81512498855591,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,1,3,7,0,,,80.92421913146973,None,z,1,0.5099899768829346,80.92421913146973,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,2,0,8,3,,,81.99694395065308,None,m,1,0.5090980529785156,81.99694395065308,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,2,1,9,1,,,83.06765103340149,None,m,1,0.5423729419708252,83.06765103340149,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,2,2,10,2,,,84.1514720916748,None,z,1,0.4505760669708252,84.1514720916748,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,2,3,11,0,,,85.15423202514648,None,z,1,0.39182209968566895,85.15423202514648,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,3,0,12,3,,,86.11604309082031,None,m,1,0.8221750259399414,86.11604309082031,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,3,1,13,0,,,87.48081612586975,None,z,1,0.5132739543914795,87.48081612586975,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,3,2,14,1,,,88.54453015327454,None,m,1,0.6176280975341797,88.54453015327454,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,3,3,15,2,,,89.70732808113098,None,z,1,0.5428831577301025,89.70732808113098,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,4,0,16,2,,,90.81321406364441,None,z,1,0.47687196731567383,90.81321406364441,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,4,1,17,1,,,91.83855414390564,None,m,1,0.4758141040802002,91.83855414390564,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,4,2,18,0,,,92.8772611618042,None,z,1,0.4771599769592285,92.8772611618042,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,4,3,19,3,,,93.9216239452362,None,m,1,0.4086611270904541,93.9216239452362,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,5,0,20,3,,,94.87964415550232,None,m,1,0.45880699157714844,94.87964415550232,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,5,1,21,1,,,95.88263511657715,None,z,0,0.49575304985046387,95.88263511657715,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,5,2,22,0,,,96.92062401771545,None,z,1,0.4817659854888916,96.92062401771545,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,5,3,23,2,,,97.96355605125427,None,z,1,0.6227688789367676,97.96355605125427,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,6,0,24,3,,,99.12352705001831,None,m,1,0.43886423110961914,99.12352705001831,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,6,1,25,2,,,100.1218810081482,None,z,1,0.624514102935791,100.1218810081482,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,6,2,26,1,,,101.28572607040405,None,m,1,0.8208649158477783,101.28572607040405,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,6,3,27,0,,,102.64810514450073,None,z,1,0.4344310760498047,102.64810514450073,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,7,0,28,3,,,103.63878011703491,None,m,1,0.45174312591552734,103.63878011703491,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,7,1,29,0,,,104.62948608398438,None,z,1,0.5810480117797852,104.62948608398438,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,red,z,incongruent,,,,,7,2,30,2,,,105.75457906723022,None,z,1,0.799921989440918,105.75457906723022,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,7,3,31,1,,,107.12040615081787,None,m,1,0.5383000373840332,107.12040615081787,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,red,z,congruent,,,,,8,0,32,0,,,108.19847011566162,None,z,1,0.4521050453186035,108.19847011566162,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
red,green,m,incongruent,,,,,8,1,33,1,,,109.19621801376343,None,m,1,1.5023398399353027,109.19621801376343,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
green,green,m,congruent,,,,,8,2,34,3,,,111.24828505516052,None,m,1,0.5063180923461914,111.24828505516052,None,,,,,,,007,01,standing,2021_Aug_01_1604,stroop-replication,2021.2.0,60.064327468631056,
