text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
green,green,m,congruent,0,0,0,3,,,,,10.635963201522827,None,11.841181993484497,None,m,1,1.122277021408081,11.841181993484497,None,13.014191150665283,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
red,green,m,incongruent,0,1,1,1,,,,,,,14.499575138092041,None,m,1,0.25571393966674805,14.499575138092041,None,14.817529201507568,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
green,red,z,incongruent,0,2,2,2,,,,,,,16.304079055786133,None,m,0,0.11542987823486328,16.304079055786133,None,16.480456113815308,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
red,red,z,congruent,0,3,3,0,,,,,,,17.969402074813843,None,m,0,0.40177083015441895,17.969402074813843,None,18.432342052459717,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
red,red,z,congruent,1,0,4,0,,,,,,,19.930143117904663,None,m,0,0.24932479858398438,19.930143117904663,None,20.233288049697876,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
green,red,z,incongruent,1,1,5,2,,,,,,,21.73054814338684,None,m,0,0.28895998001098633,21.73054814338684,None,22.067660093307495,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
green,green,m,congruent,1,2,6,3,,,,,,,23.56128716468811,None,m,1,0.21776413917541504,23.56128716468811,None,23.826341152191162,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
red,green,m,incongruent,1,3,7,1,,,,,,,25.32781410217285,None,m,1,0.37151002883911133,25.32781410217285,None,25.771128177642822,None,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
red,green,m,incongruent,,,,,0,0,0,1,,,29.10683012008667,None,m,1,0.7205491065979004,29.10683012008667,None,,,26.793708086013794,None,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
red,red,z,congruent,,,,,0,1,1,0,,,30.388180017471313,None,z,1,0.44716787338256836,30.388180017471313,None,,,,,,,004,01,sitting,2021_Jul_31_2115,stroop-replication,2021.2.0,60.047043462948615,
