text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
XXXXX,green,m,neutral,0,0,0,15,,,,,,,,,10.744227886199951,None,12.51944899559021,None,m,1,0.5616929531097412,12.51944899559021,None,12.029784917831421,12.552989959716797,13.163662910461426,None,13.145995736122131,13.660263061523438,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
XXXXX,green,m,neutral,0,1,1,27,,,,,,,,,,,15.19911503791809,None,m,1,0.2821178436279297,15.19911503791809,None,14.705667972564697,15.261527061462402,15.559054851531982,None,15.534406542778015,16.07065486907959,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
red,green,m,incongruent,0,2,2,7,,,,,,,,,,,17.613731861114502,None,m,1,0.3475179672241211,17.613731861114502,None,17.119833946228027,17.676225900650024,18.06426191329956,None,18.03912365436554,18.566601037979126,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
XXX,red,z,neutral,0,3,3,24,,,,,,,,,,,20.10644006729126,None,z,1,0.30284595489501953,20.10644006729126,None,19.613492965698242,20.168864011764526,20.510515928268433,None,20.486494660377502,21.020087003707886,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
red,green,m,incongruent,0,4,4,29,,,,,,,,,,,22.547630071640015,None,m,1,0.517470121383667,22.547630071640015,None,22.065823078155518,22.607977867126465,23.12671685218811,None,23.10157573223114,None,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
red,green,m,incongruent,0,5,5,5,,,,,,,,,,,25.168954849243164,None,m,1,0.4241180419921875,25.168954849243164,None,24.676296949386597,25.231450080871582,25.661824941635132,None,25.638477683067322,None,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
XXX,green,m,neutral,0,6,6,13,,,,,,,,,,,27.675363063812256,None,m,1,0.3655281066894531,27.675363063812256,None,27.201009035110474,27.734521865844727,28.091036081314087,None,28.07741153240204,None,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
green,green,m,congruent,0,7,7,35,,,,,,,,,,,30.116085052490234,None,m,1,0.3891580104827881,30.116085052490234,None,29.64027500152588,30.178624868392944,30.566560983657837,None,30.541371703147888,31.068140983581543,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
red,red,z,congruent,0,8,8,10,,,,,,,,,,,32.60781002044678,None,z,1,0.3614799976348877,32.60781002044678,None,32.11442303657532,32.670379877090454,33.05687999725342,None,33.03332054615021,33.56107807159424,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
red,red,z,congruent,0,9,9,32,,,,,,,,,,,35.07617688179016,None,z,1,0.5329010486602783,35.07617688179016,None,34.600152015686035,35.1356098651886,35.68400001525879,None,35.66655766963959,36.18820405006409,,,,,,,,,0002,01,standing,2021_Aug_09_1516,stroop,2021.2.0,60.020406031370335,
