text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
red,green,m,incongruent,0,0,0,5,,,,,,,,,7.420801162719727,None,9.992492198944092,None,m,1,0.8052141666412354,9.992492198944092,None,9.501850128173828,10.047078132629395,10.84958004951477,None,10.83508951663971,None,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
XXXXX,green,m,neutral,0,1,1,15,,,,,,,,,,,12.890186071395874,None,m,1,0.6117749214172363,12.890186071395874,None,12.40342402458191,12.947957992553711,13.557510137557983,None,13.537915539741517,14.069661140441895,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
green,green,m,congruent,0,2,2,23,,,,,,,,,,,15.576004028320312,None,m,1,0.3897562026977539,15.576004028320312,None,15.084050178527832,15.630415201187134,16.04024910926819,None,16.030545544624328,None,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
XXXXX,green,m,neutral,0,3,3,3,,,,,,,,,,,18.078670024871826,None,m,1,0.33533596992492676,18.078670024871826,None,17.589057207107544,18.136056184768677,18.495657205581665,None,18.47711760997772,18.997828006744385,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
XXXXX,green,m,neutral,0,4,4,27,,,,,,,,,,,20.531440019607544,None,m,1,0.33057212829589844,20.531440019607544,None,20.042604207992554,20.588340997695923,20.94783115386963,None,20.92883665561676,21.45135807991028,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
red,red,z,congruent,0,5,5,20,,,,,,,,,,,22.956027030944824,None,z,1,0.29003405570983887,22.956027030944824,None,22.48242211341858,23.049845218658447,23.325762033462524,None,23.306894612312316,None,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
red,red,z,congruent,0,6,6,8,,,,,,,,,,,25.346559047698975,None,z,1,0.3793151378631592,25.346559047698975,None,24.858477115631104,25.404126167297363,25.783839225769043,None,25.77487952709198,None,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
green,red,z,incongruent,0,7,7,28,,,,,,,,,,,27.808160066604614,None,z,1,0.39763307571411133,27.808160066604614,None,27.326593160629272,27.902087211608887,28.27074408531189,None,28.26212556362152,None,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
XXX,red,z,neutral,0,8,8,24,,,,,,,,,,,30.296650171279907,None,m,0,0.4215419292449951,30.296650171279907,None,29.80750608444214,30.354090213775635,30.800815105438232,None,30.77762062549591,31.306704998016357,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
XXXXX,red,z,neutral,0,9,9,14,,,,,,,,,,,32.82577705383301,None,z,1,0.276339054107666,32.82577705383301,None,32.33736205101013,32.88363814353943,33.15987205505371,None,33.140923571586605,None,,,,,,,,,0001,01,sitting,2021_Aug_09_1500,stroop,2021.2.0,59.963515545922945,
