text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
red,green,m,incongruent,0,19,19,29,,,,,,,,,,,65.14245986938477,None,m,1,0.5595769882202148,65.14245986938477,None,64.66722202301025,65.20341396331787,65.75793600082397,None,65.74314262866973,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,red,z,neutral,0,20,20,2,,,,,,,,,,,67.77942895889282,None,z,1,0.6750009059906006,67.77942895889282,None,67.30546593666077,67.83850502967834,68.53006505966187,None,68.50656654834746,69.0402820110321,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,0,21,21,30,,,,,,,,,,,70.55584788322449,None,z,1,0.9065380096435547,70.55584788322449,None,70.08135986328125,70.61510992050171,71.55291795730591,None,71.52977468967437,72.04892587661743,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,0,22,22,33,,,,,,,,,,,73.56363892555237,None,m,1,0.37850499153137207,73.56363892555237,None,73.08426094055176,73.62312293052673,74.02659487724304,None,74.01156165599822,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,green,m,neutral,0,23,23,1,,,,,,,,,,,76.05718398094177,None,m,1,0.42921900749206543,76.05718398094177,None,75.58181500434875,76.1163899898529,76.58537292480469,None,76.56200959682464,77.08370590209961,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,0,24,24,32,,,,,,,,,,,78.62104487419128,None,z,1,0.5053691864013672,78.62104487419128,None,78.12944984436035,78.68361186981201,79.20402503013611,None,79.18024971485137,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,red,z,neutral,0,25,25,0,,,,,,,,,,,81.23836994171143,None,z,1,0.6238420009613037,81.23836994171143,None,80.74552392959595,81.30094194412231,81.9977798461914,None,81.97772626876831,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,0,26,26,34,,,,,,,,,,,84.01719784736633,None,z,1,0.45293402671813965,84.01719784736633,None,83.53064393997192,84.07725405693054,84.52715492248535,None,84.5110826730728,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,0,27,27,5,,,,,,,,,,,86.57155799865723,None,m,1,0.4268629550933838,86.57155799865723,None,86.0785300731659,86.63389301300049,87.06448006629944,None,87.04095771312713,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,0,28,28,28,,,,,,,,,,,89.11197090148926,None,z,1,0.38274717330932617,89.11197090148926,None,88.61942386627197,89.17455697059631,89.5600118637085,None,89.53636362552642,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
