text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
red,red,z,congruent,0,0,0,0,,,,,11.664525985717773,None,14.654352903366089,None,z,1,1.9969289302825928,14.654352903366089,None,16.735875844955444,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
green,green,m,congruent,0,1,1,3,,,,,,,18.219268798828125,None,m,1,0.2400059700012207,18.219268798828125,None,18.547055959701538,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
red,green,m,incongruent,0,2,2,1,,,,,,,20.041658878326416,None,z,0,0.22557592391967773,20.041658878326416,None,20.327992916107178,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
green,red,z,incongruent,0,3,3,2,,,,,,,21.82194995880127,None,m,0,0.20543789863586426,21.82194995880127,None,22.09544801712036,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
green,green,m,congruent,1,0,4,3,,,,,,,23.585882902145386,None,m,1,0.6494379043579102,23.585882902145386,None,24.312232971191406,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
red,green,m,incongruent,1,1,5,1,,,,,,,25.80480980873108,None,m,1,0.36653709411621094,25.80480980873108,None,26.24794292449951,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
green,red,z,incongruent,1,2,6,2,,,,,,,27.742488861083984,None,z,1,0.46072816848754883,27.742488861083984,None,28.265082836151123,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
red,red,z,congruent,1,3,7,0,,,,,,,29.758193969726562,None,z,1,0.36509084701538086,29.758193969726562,None,30.200785875320435,None,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
green,green,m,congruent,,,,,0,0,0,3,,,34.41309881210327,None,m,1,0.9102821350097656,34.41309881210327,None,,,31.245872974395752,None,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
red,red,z,congruent,,,,,0,1,1,0,,,35.85018801689148,None,z,1,0.4491400718688965,35.85018801689148,None,,,,,,,002,01,sitting,2021_Jul_31_2032,stroop-replication,2021.2.0,60.07921172161593,
