text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
red,red,z,congruent,0,0,0,0,,,,,18.57394313812256,None,19.903926134109497,None,m,0,3.477592945098877,19.903926134109497,None,23.481029987335205,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,0,1,1,1,,,,,,,24.96230697631836,None,z,0,0.37106990814208984,24.96230697631836,None,25.398808002471924,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,0,2,2,2,,,,,,,26.91541314125061,None,z,1,0.4337961673736572,26.91541314125061,None,27.405632972717285,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,0,3,3,3,,,,,,,28.89217209815979,None,m,1,0.15335798263549805,28.89217209815979,None,29.134770154953003,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,1,0,4,3,,,,,,,30.623680114746094,None,m,1,1.237663984298706,30.623680114746094,None,31.915496110916138,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,1,1,5,1,,,,,,,33.407145977020264,None,z,0,0.5660619735717773,33.407145977020264,None,34.02462816238403,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,1,2,6,0,,,,,,,35.5104341506958,None,m,0,0.8467090129852295,35.5104341506958,None,36.39834713935852,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,1,3,7,2,,,,,,,37.903815031051636,None,m,0,1.7655229568481445,37.903815031051636,None,39.745530128479004,None,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,,,,,0,0,0,0,,,41.58404207229614,None,z,1,1.1092798709869385,41.58404207229614,None,,,40.788212060928345,None,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,,,,,0,1,1,1,,,43.23029613494873,None,m,1,0.7909791469573975,43.23029613494873,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,,,,,0,2,2,3,,,44.5570330619812,None,m,1,0.48834705352783203,44.5570330619812,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,,,,,0,3,3,2,,,45.59603214263916,None,z,1,0.537316083908081,45.59603214263916,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,,,,,1,0,4,3,,,46.66634202003479,None,m,1,0.6030290126800537,46.66634202003479,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,,,,,1,1,5,1,,,47.82904100418091,None,m,1,0.992332935333252,47.82904100418091,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,,,,,1,2,6,2,,,49.35365414619446,None,z,1,0.5716791152954102,49.35365414619446,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,,,,,1,3,7,0,,,50.47281098365784,None,z,1,1.0845439434051514,50.47281098365784,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,,,,,2,0,8,0,,,52.10750198364258,None,z,1,0.4580090045928955,52.10750198364258,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,,,,,2,1,9,3,,,53.11026906967163,None,m,1,0.31903886795043945,53.11026906967163,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,,,,,2,2,10,1,,,53.990278005599976,None,m,1,0.5111968517303467,53.990278005599976,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,,,,,2,3,11,2,,,55.03358817100525,None,z,1,0.4276881217956543,55.03358817100525,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,,,,,3,0,12,1,,,55.99555015563965,None,m,1,0.6818029880523682,55.99555015563965,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,,,,,3,1,13,3,,,57.23171305656433,None,m,1,0.40537095069885254,57.23171305656433,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,,,,,3,2,14,2,,,58.21745705604553,None,z,1,0.5718398094177246,58.21745705604553,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,,,,,3,3,15,0,,,59.35439109802246,None,z,1,0.4269728660583496,59.35439109802246,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,,,,,4,0,16,1,,,60.312705993652344,None,m,1,1.2285499572753906,60.312705993652344,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,,,,,4,1,17,0,,,62.0783371925354,None,z,1,0.7588391304016113,62.0783371925354,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,,,,,4,2,18,2,,,63.40208601951599,None,z,1,0.39539098739624023,63.40208601951599,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,,,,,4,3,19,3,,,64.35956001281738,None,m,1,0.4457569122314453,64.35956001281738,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,red,z,incongruent,,,,,5,0,20,2,,,65.35757112503052,None,z,1,0.8714048862457275,65.35757112503052,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,,,,,5,1,21,1,,,66.78683114051819,None,m,1,0.6263959407806396,66.78683114051819,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,,,,,5,2,22,0,,,67.97780013084412,None,z,1,0.5396790504455566,67.97780013084412,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,,,,,5,3,23,3,,,69.06173205375671,None,m,1,0.7195549011230469,69.06173205375671,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,green,m,incongruent,,,,,6,0,24,1,,,70.34611320495605,None,m,1,0.4750099182128906,70.34611320495605,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
green,green,m,congruent,,,,,6,1,25,3,,,71.3852710723877,None,m,1,0.4120049476623535,71.3852710723877,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
red,red,z,congruent,,,,,6,2,26,0,,,72.34810304641724,None,z,1,0.5051989555358887,72.34810304641724,None,,,,,,,003,01,sitting,2021_Jul_31_2113,stroop-replication,2021.2.0,60.06837043773407,
