text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
green,red,z,incongruent,0,0,0,2,,,,,23.837759017944336,None,29.420585870742798,None,z,1,1.5860018730163574,29.420585870742798,None,31.07294201850891,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
red,red,z,congruent,0,1,1,0,,,,,,,32.54963493347168,None,m,0,0.5688371658325195,32.54963493347168,None,33.18962502479553,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
red,green,m,incongruent,0,2,2,1,,,,,,,34.689936876297,None,m,1,2.460688829421997,34.689936876297,None,37.21575593948364,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
green,green,m,congruent,0,3,3,3,,,,,,,38.71282196044922,None,z,0,0.2301039695739746,38.71282196044922,None,38.993881940841675,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
red,green,m,incongruent,1,0,4,1,,,,,,,40.51091289520264,None,z,0,0.0798640251159668,40.51091289520264,None,40.66342806816101,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
green,green,m,congruent,1,1,5,3,,,,,,,42.170823097229004,None,z,0,1.364001989364624,42.170823097229004,None,43.59798288345337,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
red,red,z,congruent,1,2,6,0,,,,,,,45.10492300987244,None,z,1,1.0540649890899658,45.10492300987244,None,46.22439002990723,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
green,red,z,incongruent,1,3,7,2,,,,,,,47.717061042785645,None,z,1,0.3779280185699463,47.717061042785645,None,48.1594660282135,None,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
red,red,z,congruent,,,,,0,0,0,0,,,51.372639894485474,None,z,1,1.3303229808807373,51.372639894485474,None,,,49.20356106758118,None,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
red,green,m,incongruent,,,,,0,1,1,1,,,53.242806911468506,None,m,1,0.532073974609375,53.242806911468506,None,,,,,,,005,01,standing,2021_Jul_31_2125,stroop-replication,2021.2.0,60.11201751921897,
